id,@timestamp,bytes_in,client.bytes,destination.ip,dns.question.name,dns.response_code,dns.type,network.bytes,source.ip,status,client.port,destination.port,dns.flags.authentic_data,dns.id,dns.answers.data
197,2021-11-17T15:06:22.076Z,42.0,42.0,192.168.57.253,ssum-sec.casalemedia.com,NOERROR,answer,183,192.168.8.114,OK,54461,53,False,777,"[ssum-sec.casalemedia.com.edgekey.net"";""e8037.g.akamaiedge.net"";""23.197.215.201""]"""
198,2021-11-17T15:06:22.020Z,37.0,37.0,192.168.57.253,accounts.google.com,NOERROR,answer,90,192.168.65.39,OK,63831,53,False,25019,172.217.162.237
199,2021-11-17T15:06:22.020Z,33.0,33.0,192.168.57.253,maps.google.com,NOERROR,answer,82,192.168.65.39,OK,54511,53,False,47730,216.58.202.78
200,2021-11-17T15:06:22.014Z,43.0,43.0,192.168.57.253,www.googletagservices.com,NOERROR,answer,102,192.168.8.114,OK,59011,53,False,59410,142.250.79.162
201,2021-11-17T15:06:21.991Z,45.0,45.0,8.8.8.8,s3.amazonaws.com,NOERROR,answer,106,192.168.57.253,OK,60552,53,False,46381,52.217.73.38
202,2021-11-17T15:06:21.991Z,34.0,34.0,192.168.57.253,s3.amazonaws.com,NOERROR,answer,84,192.168.9.98,OK,56118,53,False,42825,52.217.73.38
203,2021-11-17T15:06:21.990Z,48.0,48.0,192.168.57.253,securepubads.g.doubleclick.net,NOERROR,answer,138,192.168.9.98,OK,56274,53,False,63642,"[partnerad.l.doubleclick.net"";""172.217.172.66""]"""
204,2021-11-17T15:06:21.988Z,43.0,43.0,192.168.57.253,tpc.googlesyndication.com,NOERROR,answer,102,192.168.9.98,OK,60523,53,False,35395,216.58.202.65
205,2021-11-17T15:06:21.950Z,41.0,41.0,192.168.57.253,adservice.google.com.ar,NOERROR,answer,138,192.168.65.39,OK,49990,53,False,53574,"[pagead46.l.doubleclick.net"";""172.217.173.130""]"""
206,2021-11-17T15:06:21.950Z,33.0,33.0,192.168.57.253,wpad.reda1.com.ar,NOERROR,query,33,10.4.5.108,Error,52774,53,False,47051,
207,2021-11-17T15:06:21.931Z,43.0,43.0,192.168.57.253,nxcaaqrplofgls.reda1.com.ar,NOERROR,answer,149,192.168.144.105,OK,63660,53,False,58797,
208,2021-11-17T15:06:21.930Z,42.0,42.0,192.168.57.253,fzfdbspearbyb.reda1.com.ar,NOERROR,answer,147,192.168.144.105,OK,60877,53,False,9461,
209,2021-11-17T15:06:21.928Z,44.0,44.0,192.168.57.253,irjnvujdwwvqlhk.reda1.com.ar,NOERROR,answer,151,192.168.144.105,OK,52099,53,False,62862,
210,2021-11-17T15:06:21.919Z,40.0,40.0,192.168.57.253,client.wns.windows.com,NOERROR,answer,139,192.168.118.100,OK,52662,53,False,460,"[wns.notify.trafficmanager.net"";""52.226.139.185""]"""
211,2021-11-17T15:06:21.918Z,44.0,44.0,8.8.8.8,vars.hotjar.com,NOERROR,answer,152,192.168.57.253,OK,62146,53,False,10034,"[13.227.92.27"";""13.227.92.109"";""13.227.92.101"";""13.227.92.78""]"""
212,2021-11-17T15:06:21.917Z,33.0,33.0,192.168.57.253,vars.hotjar.com,NOERROR,answer,130,192.168.211.63,OK,50900,53,False,59717,"[13.227.92.27"";""13.227.92.109"";""13.227.92.101"";""13.227.92.78""]"""
213,2021-11-17T15:06:21.916Z,37.0,37.0,192.168.57.253,image6.pubmatic.com,NOERROR,answer,143,192.168.8.114,OK,51748,53,False,49465,"[pugm33000nfc.pubmatic.com"";""pugm33000nf.pubmatic.com"";""104.36.113.23""]"""
214,2021-11-17T15:06:21.865Z,62.0,62.0,8.8.8.8,settingsfd-geo.trafficmanager.net,NOERROR,answer,140,192.168.57.253,OK,60876,53,False,37796,52.191.219.104
215,2021-11-17T15:06:21.863Z,49.0,49.0,192.168.57.253,settings-win.data.microsoft.com,NOERROR,answer,161,192.168.115.50,OK,58263,53,False,5239,"[settingsfd-geo.trafficmanager.net"";""52.191.219.104""]"""
216,2021-11-17T15:06:21.848Z,33.0,33.0,192.168.57.253,wpad.reda1.com.ar,NOERROR,query,33,192.168.43.58,Error,56933,53,False,47007,
